address,expression,operation,bitwidth,numConstantOperands,firstOperandConst,secondOperandConst,numPowerOfTwoOperands,firstOperandPowerOfTwo,secondOperandPowerOfTwo,numIdentityOperands,firstOperandIdentity,secondOperandIdentity,numZeroElementOperands,firstOperandZeroElem,secondOperandZeroElem,numPossibleFirstOperand,numPossibleSecondOperand,serializedFirstOperandFormula,serializedSecondOperandFormula
0x40150a,"Sub64(t1,0x0000000000000001)",Iop_Sub64,64,2,<BV64 0x19>,1,0,False,False,0,False,False,0,False,False,None,None,,
0x40150a,"Add64(t3,t0)",Iop_Add64,64,2,<BV64 0x7fffffffffefd38>,<BV64 0x8>,0,False,False,0,False,False,0,False,False,None,None,,
0x40150a,"Sub64(t1,0x0000000000000001)",Iop_Sub64,64,2,<BV64 0x18>,1,0,False,False,0,False,False,0,False,False,None,None,,
0x40150a,"Add64(t3,t0)",Iop_Add64,64,2,<BV64 0x7fffffffffefd40>,<BV64 0x8>,0,False,False,0,False,False,0,False,False,None,None,,
0x40150a,"Sub64(t1,0x0000000000000001)",Iop_Sub64,64,2,<BV64 0x17>,1,0,False,False,0,False,False,0,False,False,None,None,,
0x40150a,"Add64(t3,t0)",Iop_Add64,64,2,<BV64 0x7fffffffffefd48>,<BV64 0x8>,0,False,False,0,False,False,0,False,False,None,None,,
0x40150a,"Sub64(t1,0x0000000000000001)",Iop_Sub64,64,2,<BV64 0x16>,1,0,False,False,0,False,False,0,False,False,None,None,,
0x40150a,"Add64(t3,t0)",Iop_Add64,64,2,<BV64 0x7fffffffffefd50>,<BV64 0x8>,0,False,False,0,False,False,0,False,False,None,None,,
0x40150a,"Sub64(t1,0x0000000000000001)",Iop_Sub64,64,2,<BV64 0x15>,1,0,False,False,0,False,False,0,False,False,None,None,,
0x40150a,"Add64(t3,t0)",Iop_Add64,64,2,<BV64 0x7fffffffffefd58>,<BV64 0x8>,0,False,False,0,False,False,0,False,False,None,None,,
0x40150a,"Sub64(t1,0x0000000000000001)",Iop_Sub64,64,2,<BV64 0x14>,1,0,False,False,0,False,False,0,False,False,None,None,,
0x40150a,"Add64(t3,t0)",Iop_Add64,64,2,<BV64 0x7fffffffffefd60>,<BV64 0x8>,0,False,False,0,False,False,0,False,False,None,None,,
0x40150a,"Sub64(t1,0x0000000000000001)",Iop_Sub64,64,2,<BV64 0x13>,1,0,False,False,0,False,False,0,False,False,None,None,,
0x40150a,"Add64(t3,t0)",Iop_Add64,64,2,<BV64 0x7fffffffffefd68>,<BV64 0x8>,0,False,False,0,False,False,0,False,False,None,None,,
0x40150a,"Sub64(t1,0x0000000000000001)",Iop_Sub64,64,2,<BV64 0x12>,1,0,False,False,0,False,False,0,False,False,None,None,,
0x40150a,"Add64(t3,t0)",Iop_Add64,64,2,<BV64 0x7fffffffffefd70>,<BV64 0x8>,0,False,False,0,False,False,0,False,False,None,None,,
0x40150a,"Sub64(t1,0x0000000000000001)",Iop_Sub64,64,2,<BV64 0x11>,1,0,False,False,0,False,False,0,False,False,None,None,,
0x40150a,"Add64(t3,t0)",Iop_Add64,64,2,<BV64 0x7fffffffffefd78>,<BV64 0x8>,0,False,False,0,False,False,0,False,False,None,None,,
0x40150a,"Sub64(t1,0x0000000000000001)",Iop_Sub64,64,2,<BV64 0x10>,1,0,False,False,0,False,False,0,False,False,None,None,,
0x40150a,"Add64(t3,t0)",Iop_Add64,64,2,<BV64 0x7fffffffffefd80>,<BV64 0x8>,0,False,False,0,False,False,0,False,False,None,None,,
0x40150a,"Sub64(t1,0x0000000000000001)",Iop_Sub64,64,2,<BV64 0xf>,1,0,False,False,0,False,False,0,False,False,None,None,,
0x40150a,"Add64(t3,t0)",Iop_Add64,64,2,<BV64 0x7fffffffffefd88>,<BV64 0x8>,0,False,False,0,False,False,0,False,False,None,None,,
0x40150a,"Sub64(t1,0x0000000000000001)",Iop_Sub64,64,2,<BV64 0xe>,1,0,False,False,0,False,False,0,False,False,None,None,,
0x40150a,"Add64(t3,t0)",Iop_Add64,64,2,<BV64 0x7fffffffffefd90>,<BV64 0x8>,0,False,False,0,False,False,0,False,False,None,None,,
0x40150a,"Sub64(t1,0x0000000000000001)",Iop_Sub64,64,2,<BV64 0xd>,1,0,False,False,0,False,False,0,False,False,None,None,,
0x40150a,"Add64(t3,t0)",Iop_Add64,64,2,<BV64 0x7fffffffffefd98>,<BV64 0x8>,0,False,False,0,False,False,0,False,False,None,None,,
